Origen,Destino,Aerolinea,ruta,n_train
EZE,MDP,AEROLINEAS ARGENTINAS SA,EZE|MDP|AEROLINEAS ARGENTINAS SA,98
EZE,NEU,AEROLINEAS ARGENTINAS SA,EZE|NEU|AEROLINEAS ARGENTINAS SA,425
EZE,NEU,FB LÍNEAS AÉREAS - FLYBONDI,EZE|NEU|FB LÍNEAS AÉREAS - FLYBONDI,52
EZE,NEU,JETSMART AIRLINES S.A.,EZE|NEU|JETSMART AIRLINES S.A.,117
EZE,OSA,AEROLINEAS ARGENTINAS SA,EZE|OSA|AEROLINEAS ARGENTINAS SA,7
EZE,PAR,AEROLINEAS ARGENTINAS SA,EZE|PAR|AEROLINEAS ARGENTINAS SA,16
EZE,POS,AEROLINEAS ARGENTINAS SA,EZE|POS|AEROLINEAS ARGENTINAS SA,218
EZE,POS,FB LÍNEAS AÉREAS - FLYBONDI,EZE|POS|FB LÍNEAS AÉREAS - FLYBONDI,25
EZE,POS,JETSMART AIRLINES S.A.,EZE|POS|JETSMART AIRLINES S.A.,1
EZE,ROS,AEROLINEAS ARGENTINAS SA,EZE|ROS|AEROLINEAS ARGENTINAS SA,222
EZE,SAL,AEROLINEAS ARGENTINAS SA,EZE|SAL|AEROLINEAS ARGENTINAS SA,1103
EZE,SAL,FB LÍNEAS AÉREAS - FLYBONDI,EZE|SAL|FB LÍNEAS AÉREAS - FLYBONDI,407
EZE,SAL,JETSMART AIRLINES S.A.,EZE|SAL|JETSMART AIRLINES S.A.,241
EZE,SDE,AEROLINEAS ARGENTINAS SA,EZE|SDE|AEROLINEAS ARGENTINAS SA,85
EZE,SDE,FB LÍNEAS AÉREAS - FLYBONDI,EZE|SDE|FB LÍNEAS AÉREAS - FLYBONDI,10
EZE,SIS,AEROLINEAS ARGENTINAS SA,EZE|SIS|AEROLINEAS ARGENTINAS SA,235
EZE,SIS,JETSMART AIRLINES S.A.,EZE|SIS|JETSMART AIRLINES S.A.,1
EZE,SRA,AEROLINEAS ARGENTINAS SA,EZE|SRA|AEROLINEAS ARGENTINAS SA,36
EZE,SVO,AEROLINEAS ARGENTINAS SA,EZE|SVO|AEROLINEAS ARGENTINAS SA,19
EZE,TRC,AEROLINEAS ARGENTINAS SA,EZE|TRC|AEROLINEAS ARGENTINAS SA,14
EZE,TRE,JETSMART AIRLINES S.A.,EZE|TRE|JETSMART AIRLINES S.A.,1
EZE,TRH,AEROLINEAS ARGENTINAS SA,EZE|TRH|AEROLINEAS ARGENTINAS SA,5
EZE,TUC,AEROLINEAS ARGENTINAS SA,EZE|TUC|AEROLINEAS ARGENTINAS SA,1106
EZE,TUC,FB LÍNEAS AÉREAS - FLYBONDI,EZE|TUC|FB LÍNEAS AÉREAS - FLYBONDI,89
EZE,TUC,JETSMART AIRLINES S.A.,EZE|TUC|JETSMART AIRLINES S.A.,153
EZE,UIS,AEROLINEAS ARGENTINAS SA,EZE|UIS|AEROLINEAS ARGENTINAS SA,34
EZE,USU,AEROLINEAS ARGENTINAS SA,EZE|USU|AEROLINEAS ARGENTINAS SA,2621
EZE,USU,JETSMART AIRLINES S.A.,EZE|USU|JETSMART AIRLINES S.A.,387
EZE,VIE,AEROLINEAS ARGENTINAS SA,EZE|VIE|AEROLINEAS ARGENTINAS SA,8
FSA,AER,AEROLINEAS ARGENTINAS SA,FSA|AER|AEROLINEAS ARGENTINAS SA,1272
FSA,EZE,AEROLINEAS ARGENTINAS SA,FSA|EZE|AEROLINEAS ARGENTINAS SA,40
GAL,AER,AEROLINEAS ARGENTINAS SA,GAL|AER|AEROLINEAS ARGENTINAS SA,1608
GAL,AER,FB LÍNEAS AÉREAS - FLYBONDI,GAL|AER|FB LÍNEAS AÉREAS - FLYBONDI,1
GAL,CRV,AEROLINEAS ARGENTINAS SA,GAL|CRV|AEROLINEAS ARGENTINAS SA,179
GAL,ECA,AEROLINEAS ARGENTINAS SA,GAL|ECA|AEROLINEAS ARGENTINAS SA,3
GAL,EZE,FB LÍNEAS AÉREAS - FLYBONDI,GAL|EZE|FB LÍNEAS AÉREAS - FLYBONDI,7
GAL,USU,AEROLINEAS ARGENTINAS SA,GAL|USU|AEROLINEAS ARGENTINAS SA,2
GRA,AER,AEROLINEAS ARGENTINAS SA,GRA|AER|AEROLINEAS ARGENTINAS SA,1390
GRA,GAL,AEROLINEAS ARGENTINAS SA,GRA|GAL|AEROLINEAS ARGENTINAS SA,1
GRA,USU,AEROLINEAS ARGENTINAS SA,GRA|USU|AEROLINEAS ARGENTINAS SA,2
IGU,AER,AEROLINEAS ARGENTINAS SA,IGU|AER|AEROLINEAS ARGENTINAS SA,5126
IGU,AER,FB LÍNEAS AÉREAS - FLYBONDI,IGU|AER|FB LÍNEAS AÉREAS - FLYBONDI,784
IGU,AER,JETSMART AIRLINES S.A.,IGU|AER|JETSMART AIRLINES S.A.,1115
IGU,CBA,AEROLINEAS ARGENTINAS SA,IGU|CBA|AEROLINEAS ARGENTINAS SA,708
IGU,CBA,FB LÍNEAS AÉREAS - FLYBONDI,IGU|CBA|FB LÍNEAS AÉREAS - FLYBONDI,9
IGU,EZE,AEROLINEAS ARGENTINAS SA,IGU|EZE|AEROLINEAS ARGENTINAS SA,1159
IGU,EZE,FB LÍNEAS AÉREAS - FLYBONDI,IGU|EZE|FB LÍNEAS AÉREAS - FLYBONDI,383
IGU,POS,AEROLINEAS ARGENTINAS SA,IGU|POS|AEROLINEAS ARGENTINAS SA,1
IGU,ROS,AEROLINEAS ARGENTINAS SA,IGU|ROS|AEROLINEAS ARGENTINAS SA,238
IGU,SAL,AEROLINEAS ARGENTINAS SA,IGU|SAL|AEROLINEAS ARGENTINAS SA,357
IGU,SAL,JETSMART AIRLINES S.A.,IGU|SAL|JETSMART AIRLINES S.A.,27
IGU,TUC,AEROLINEAS ARGENTINAS SA,IGU|TUC|AEROLINEAS ARGENTINAS SA,156
JUA,AER,AEROLINEAS ARGENTINAS SA,JUA|AER|AEROLINEAS ARGENTINAS SA,2289
JUA,AER,FB LÍNEAS AÉREAS - FLYBONDI,JUA|AER|FB LÍNEAS AÉREAS - FLYBONDI,113
JUA,CBA,AEROLINEAS ARGENTINAS SA,JUA|CBA|AEROLINEAS ARGENTINAS SA,167
JUA,CRV,AEROLINEAS ARGENTINAS SA,JUA|CRV|AEROLINEAS ARGENTINAS SA,2
JUA,DOZ,AEROLINEAS ARGENTINAS SA,JUA|DOZ|AEROLINEAS ARGENTINAS SA,3
JUA,EZE,FB LÍNEAS AÉREAS - FLYBONDI,JUA|EZE|FB LÍNEAS AÉREAS - FLYBONDI,21
JUA,SDE,AEROLINEAS ARGENTINAS SA,JUA|SDE|AEROLINEAS ARGENTINAS SA,1
JUJ,AER,AEROLINEAS ARGENTINAS SA,JUJ|AER|AEROLINEAS ARGENTINAS SA,1830
JUJ,AER,JETSMART AIRLINES S.A.,JUJ|AER|JETSMART AIRLINES S.A.,231
JUJ,CBA,AEROLINEAS ARGENTINAS SA,JUJ|CBA|AEROLINEAS ARGENTINAS SA,576
JUJ,CRV,AEROLINEAS ARGENTINAS SA,JUJ|CRV|AEROLINEAS ARGENTINAS SA,9
JUJ,DOZ,AEROLINEAS ARGENTINAS SA,JUJ|DOZ|AEROLINEAS ARGENTINAS SA,53
JUJ,EZE,FB LÍNEAS AÉREAS - FLYBONDI,JUJ|EZE|FB LÍNEAS AÉREAS - FLYBONDI,457
JUJ,EZE,JETSMART AIRLINES S.A.,JUJ|EZE|JETSMART AIRLINES S.A.,71
JUJ,IGU,AEROLINEAS ARGENTINAS SA,JUJ|IGU|AEROLINEAS ARGENTINAS SA,76
JUJ,NEU,AEROLINEAS ARGENTINAS SA,JUJ|NEU|AEROLINEAS ARGENTINAS SA,1
JUJ,SAL,AEROLINEAS ARGENTINAS SA,JUJ|SAL|AEROLINEAS ARGENTINAS SA,3
LAR,CAT,AEROLINEAS ARGENTINAS SA,LAR|CAT|AEROLINEAS ARGENTINAS SA,22
MDP,AER,AEROLINEAS ARGENTINAS SA,MDP|AER|AEROLINEAS ARGENTINAS SA,3170
MDP,AER,FB LÍNEAS AÉREAS - FLYBONDI,MDP|AER|FB LÍNEAS AÉREAS - FLYBONDI,15
MDP,BAR,AEROLINEAS ARGENTINAS SA,MDP|BAR|AEROLINEAS ARGENTINAS SA,1
MDP,BCA,AEROLINEAS ARGENTINAS SA,MDP|BCA|AEROLINEAS ARGENTINAS SA,6
MDP,CBA,AEROLINEAS ARGENTINAS SA,MDP|CBA|AEROLINEAS ARGENTINAS SA,390
MDP,DOZ,AEROLINEAS ARGENTINAS SA,MDP|DOZ|AEROLINEAS ARGENTINAS SA,279
MDP,EZE,AEROLINEAS ARGENTINAS SA,MDP|EZE|AEROLINEAS ARGENTINAS SA,112
MDP,EZE,FB LÍNEAS AÉREAS - FLYBONDI,MDP|EZE|FB LÍNEAS AÉREAS - FLYBONDI,9
MDP,ROS,AEROLINEAS ARGENTINAS SA,MDP|ROS|AEROLINEAS ARGENTINAS SA,43
MDP,SVO,AEROLINEAS ARGENTINAS SA,MDP|SVO|AEROLINEAS ARGENTINAS SA,1
MDP,TUC,AEROLINEAS ARGENTINAS SA,MDP|TUC|AEROLINEAS ARGENTINAS SA,184
NEU,AER,AEROLINEAS ARGENTINAS SA,NEU|AER|AEROLINEAS ARGENTINAS SA,2534
NEU,AER,FB LÍNEAS AÉREAS - FLYBONDI,NEU|AER|FB LÍNEAS AÉREAS - FLYBONDI,408
NEU,AER,JETSMART AIRLINES S.A.,NEU|AER|JETSMART AIRLINES S.A.,1298
NEU,BAR,AEROLINEAS ARGENTINAS SA,NEU|BAR|AEROLINEAS ARGENTINAS SA,3
NEU,BAR,FB LÍNEAS AÉREAS - FLYBONDI,NEU|BAR|FB LÍNEAS AÉREAS - FLYBONDI,1
NEU,BAR,JETSMART AIRLINES S.A.,NEU|BAR|JETSMART AIRLINES S.A.,5
NEU,CBA,AEROLINEAS ARGENTINAS SA,NEU|CBA|AEROLINEAS ARGENTINAS SA,607
NEU,CBA,FB LÍNEAS AÉREAS - FLYBONDI,NEU|CBA|FB LÍNEAS AÉREAS - FLYBONDI,283
NEU,CHP,JETSMART AIRLINES S.A.,NEU|CHP|JETSMART AIRLINES S.A.,1
NEU,CRV,AEROLINEAS ARGENTINAS SA,NEU|CRV|AEROLINEAS ARGENTINAS SA,10
NEU,DOZ,AEROLINEAS ARGENTINAS SA,NEU|DOZ|AEROLINEAS ARGENTINAS SA,18
NEU,DOZ,JETSMART AIRLINES S.A.,NEU|DOZ|JETSMART AIRLINES S.A.,1
NEU,EZE,AEROLINEAS ARGENTINAS SA,NEU|EZE|AEROLINEAS ARGENTINAS SA,297
NEU,EZE,FB LÍNEAS AÉREAS - FLYBONDI,NEU|EZE|FB LÍNEAS AÉREAS - FLYBONDI,71
NEU,EZE,JETSMART AIRLINES S.A.,NEU|EZE|JETSMART AIRLINES S.A.,107
NEU,JUJ,AEROLINEAS ARGENTINAS SA,NEU|JUJ|AEROLINEAS ARGENTINAS SA,1
NEU,MDP,AEROLINEAS ARGENTINAS SA,NEU|MDP|AEROLINEAS ARGENTINAS SA,1
NEU,ROS,JETSMART AIRLINES S.A.,NEU|ROS|JETSMART AIRLINES S.A.,20
NEU,SAL,AEROLINEAS ARGENTINAS SA,NEU|SAL|AEROLINEAS ARGENTINAS SA,213
OSA,AER,AEROLINEAS ARGENTINAS SA,OSA|AER|AEROLINEAS ARGENTINAS SA,492
OSA,EZE,AEROLINEAS ARGENTINAS SA,OSA|EZE|AEROLINEAS ARGENTINAS SA,7
PAR,EZE,AEROLINEAS ARGENTINAS SA,PAR|EZE|AEROLINEAS ARGENTINAS SA,5
PAR,MDP,AEROLINEAS ARGENTINAS SA,PAR|MDP|AEROLINEAS ARGENTINAS SA,1
PAR,ROS,AEROLINEAS ARGENTINAS SA,PAR|ROS|AEROLINEAS ARGENTINAS SA,1
POS,AER,AEROLINEAS ARGENTINAS SA,POS|AER|AEROLINEAS ARGENTINAS SA,2066
POS,AER,FB LÍNEAS AÉREAS - FLYBONDI,POS|AER|FB LÍNEAS AÉREAS - FLYBONDI,395
POS,AER,JETSMART AIRLINES S.A.,POS|AER|JETSMART AIRLINES S.A.,137
POS,CBA,AEROLINEAS ARGENTINAS SA,POS|CBA|AEROLINEAS ARGENTINAS SA,282
POS,CRR,AEROLINEAS ARGENTINAS SA,POS|CRR|AEROLINEAS ARGENTINAS SA,1
POS,EZE,AEROLINEAS ARGENTINAS SA,POS|EZE|AEROLINEAS ARGENTINAS SA,269
POS,EZE,FB LÍNEAS AÉREAS - FLYBONDI,POS|EZE|FB LÍNEAS AÉREAS - FLYBONDI,24
POS,EZE,JETSMART AIRLINES S.A.,POS|EZE|JETSMART AIRLINES S.A.,8
POS,FSA,AEROLINEAS ARGENTINAS SA,POS|FSA|AEROLINEAS ARGENTINAS SA,1
POS,IGU,AEROLINEAS ARGENTINAS SA,POS|IGU|AEROLINEAS ARGENTINAS SA,4
POS,SIS,AEROLINEAS ARGENTINAS SA,POS|SIS|AEROLINEAS ARGENTINAS SA,1
ROS,AER,AEROLINEAS ARGENTINAS SA,ROS|AER|AEROLINEAS ARGENTINAS SA,2046
ROS,BAR,JETSMART AIRLINES S.A.,ROS|BAR|JETSMART AIRLINES S.A.,1
ROS,CHP,AEROLINEAS ARGENTINAS SA,ROS|CHP|AEROLINEAS ARGENTINAS SA,32
ROS,DOZ,AEROLINEAS ARGENTINAS SA,ROS|DOZ|AEROLINEAS ARGENTINAS SA,539
ROS,ECA,AEROLINEAS ARGENTINAS SA,ROS|ECA|AEROLINEAS ARGENTINAS SA,46
ROS,EZE,AEROLINEAS ARGENTINAS SA,ROS|EZE|AEROLINEAS ARGENTINAS SA,259
ROS,IGU,AEROLINEAS ARGENTINAS SA,ROS|IGU|AEROLINEAS ARGENTINAS SA,348
ROS,JUA,AEROLINEAS ARGENTINAS SA,ROS|JUA|AEROLINEAS ARGENTINAS SA,1
ROS,MDP,AEROLINEAS ARGENTINAS SA,ROS|MDP|AEROLINEAS ARGENTINAS SA,67
ROS,NEU,AEROLINEAS ARGENTINAS SA,ROS|NEU|AEROLINEAS ARGENTINAS SA,58
ROS,NEU,JETSMART AIRLINES S.A.,ROS|NEU|JETSMART AIRLINES S.A.,21
ROS,PAR,AEROLINEAS ARGENTINAS SA,ROS|PAR|AEROLINEAS ARGENTINAS SA,1
ROS,RTA,AEROLINEAS ARGENTINAS SA,ROS|RTA|AEROLINEAS ARGENTINAS SA,2
ROS,SAL,AEROLINEAS ARGENTINAS SA,ROS|SAL|AEROLINEAS ARGENTINAS SA,350
ROS,SDE,AEROLINEAS ARGENTINAS SA,ROS|SDE|AEROLINEAS ARGENTINAS SA,1
ROS,SVO,AEROLINEAS ARGENTINAS SA,ROS|SVO|AEROLINEAS ARGENTINAS SA,1
ROS,TUC,AEROLINEAS ARGENTINAS SA,ROS|TUC|AEROLINEAS ARGENTINAS SA,1
SAL,AER,AEROLINEAS ARGENTINAS SA,SAL|AER|AEROLINEAS ARGENTINAS SA,4244
SAL,AER,FB LÍNEAS AÉREAS - FLYBONDI,SAL|AER|FB LÍNEAS AÉREAS - FLYBONDI,511
SAL,AER,JETSMART AIRLINES S.A.,SAL|AER|JETSMART AIRLINES S.A.,1021
SAL,CBA,AEROLINEAS ARGENTINAS SA,SAL|CBA|AEROLINEAS ARGENTINAS SA,860
SAL,CBA,FB LÍNEAS AÉREAS - FLYBONDI,SAL|CBA|FB LÍNEAS AÉREAS - FLYBONDI,244
SAL,CBA,JETSMART AIRLINES S.A.,SAL|CBA|JETSMART AIRLINES S.A.,31
SAL,CRR,AEROLINEAS ARGENTINAS SA,SAL|CRR|AEROLINEAS ARGENTINAS SA,1
SAL,DOZ,AEROLINEAS ARGENTINAS SA,SAL|DOZ|AEROLINEAS ARGENTINAS SA,381
SAL,DOZ,JETSMART AIRLINES S.A.,SAL|DOZ|JETSMART AIRLINES S.A.,94
SAL,EZE,FB LÍNEAS AÉREAS - FLYBONDI,SAL|EZE|FB LÍNEAS AÉREAS - FLYBONDI,269
SAL,IGU,AEROLINEAS ARGENTINAS SA,SAL|IGU|AEROLINEAS ARGENTINAS SA,369
SAL,IGU,JETSMART AIRLINES S.A.,SAL|IGU|JETSMART AIRLINES S.A.,33
SAL,NEU,AEROLINEAS ARGENTINAS SA,SAL|NEU|AEROLINEAS ARGENTINAS SA,171
SAL,NEU,JETSMART AIRLINES S.A.,SAL|NEU|JETSMART AIRLINES S.A.,302
SAL,ROS,AEROLINEAS ARGENTINAS SA,SAL|ROS|AEROLINEAS ARGENTINAS SA,164
SAL,SIS,AEROLINEAS ARGENTINAS SA,SAL|SIS|AEROLINEAS ARGENTINAS SA,9
SAL,TUC,JETSMART AIRLINES S.A.,SAL|TUC|JETSMART AIRLINES S.A.,1
SDE,AER,AEROLINEAS ARGENTINAS SA,SDE|AER|AEROLINEAS ARGENTINAS SA,1398
SDE,AER,FB LÍNEAS AÉREAS - FLYBONDI,SDE|AER|FB LÍNEAS AÉREAS - FLYBONDI,547
SDE,CBA,AEROLINEAS ARGENTINAS SA,SDE|CBA|AEROLINEAS ARGENTINAS SA,2
SDE,EZE,AEROLINEAS ARGENTINAS SA,SDE|EZE|AEROLINEAS ARGENTINAS SA,193
SDE,EZE,FB LÍNEAS AÉREAS - FLYBONDI,SDE|EZE|FB LÍNEAS AÉREAS - FLYBONDI,28
SDE,MDP,AEROLINEAS ARGENTINAS SA,SDE|MDP|AEROLINEAS ARGENTINAS SA,1
SIS,AER,AEROLINEAS ARGENTINAS SA,SIS|AER|AEROLINEAS ARGENTINAS SA,1701
SIS,CBA,AEROLINEAS ARGENTINAS SA,SIS|CBA|AEROLINEAS ARGENTINAS SA,282
SIS,EZE,AEROLINEAS ARGENTINAS SA,SIS|EZE|AEROLINEAS ARGENTINAS SA,128
SIS,IGU,AEROLINEAS ARGENTINAS SA,SIS|IGU|AEROLINEAS ARGENTINAS SA,1
SIS,SAL,AEROLINEAS ARGENTINAS SA,SIS|SAL|AEROLINEAS ARGENTINAS SA,18
SRA,AER,AEROLINEAS ARGENTINAS SA,SRA|AER|AEROLINEAS ARGENTINAS SA,584
SRA,EZE,AEROLINEAS ARGENTINAS SA,SRA|EZE|AEROLINEAS ARGENTINAS SA,26
SRC,AER,AEROLINEAS ARGENTINAS SA,SRC|AER|AEROLINEAS ARGENTINAS SA,31
SVO,CBA,AEROLINEAS ARGENTINAS SA,SVO|CBA|AEROLINEAS ARGENTINAS SA,1
SVO,EZE,AEROLINEAS ARGENTINAS SA,SVO|EZE|AEROLINEAS ARGENTINAS SA,9
SVO,JUA,AEROLINEAS ARGENTINAS SA,SVO|JUA|AEROLINEAS ARGENTINAS SA,1
SVO,SIS,AEROLINEAS ARGENTINAS SA,SVO|SIS|AEROLINEAS ARGENTINAS SA,1
TRC,AER,AEROLINEAS ARGENTINAS SA,TRC|AER|AEROLINEAS ARGENTINAS SA,294
TRC,EZE,AEROLINEAS ARGENTINAS SA,TRC|EZE|AEROLINEAS ARGENTINAS SA,3
TRC,OSA,AEROLINEAS ARGENTINAS SA,TRC|OSA|AEROLINEAS ARGENTINAS SA,6
TRE,AER,AEROLINEAS ARGENTINAS SA,TRE|AER|AEROLINEAS ARGENTINAS SA,1625
TRE,AER,FB LÍNEAS AÉREAS - FLYBONDI,TRE|AER|FB LÍNEAS AÉREAS - FLYBONDI,84
TRE,AER,JETSMART AIRLINES S.A.,TRE|AER|JETSMART AIRLINES S.A.,49
TRE,BAR,AEROLINEAS ARGENTINAS SA,TRE|BAR|AEROLINEAS ARGENTINAS SA,1
TRE,BCA,AEROLINEAS ARGENTINAS SA,TRE|BCA|AEROLINEAS ARGENTINAS SA,9
TRE,CBA,AEROLINEAS ARGENTINAS SA,TRE|CBA|AEROLINEAS ARGENTINAS SA,173
TRE,CRV,AEROLINEAS ARGENTINAS SA,TRE|CRV|AEROLINEAS ARGENTINAS SA,10
TRE,DRY,AEROLINEAS ARGENTINAS SA,TRE|DRY|AEROLINEAS ARGENTINAS SA,1
TRE,ECA,AEROLINEAS ARGENTINAS SA,TRE|ECA|AEROLINEAS ARGENTINAS SA,12
TRE,EZE,FB LÍNEAS AÉREAS - FLYBONDI,TRE|EZE|FB LÍNEAS AÉREAS - FLYBONDI,8
TRE,NEU,AEROLINEAS ARGENTINAS SA,TRE|NEU|AEROLINEAS ARGENTINAS SA,1
TRE,USU,AEROLINEAS ARGENTINAS SA,TRE|USU|AEROLINEAS ARGENTINAS SA,16
TRH,EZE,AEROLINEAS ARGENTINAS SA,TRH|EZE|AEROLINEAS ARGENTINAS SA,11
TUC,AER,AEROLINEAS ARGENTINAS SA,TUC|AER|AEROLINEAS ARGENTINAS SA,4345
TUC,AER,JETSMART AIRLINES S.A.,TUC|AER|JETSMART AIRLINES S.A.,780
TUC,BAR,AEROLINEAS ARGENTINAS SA,TUC|BAR|AEROLINEAS ARGENTINAS SA,20
TUC,CBA,JETSMART AIRLINES S.A.,TUC|CBA|JETSMART AIRLINES S.A.,1
TUC,DOZ,AEROLINEAS ARGENTINAS SA,TUC|DOZ|AEROLINEAS ARGENTINAS SA,98
TUC,EZE,AEROLINEAS ARGENTINAS SA,TUC|EZE|AEROLINEAS ARGENTINAS SA,1016
TUC,EZE,FB LÍNEAS AÉREAS - FLYBONDI,TUC|EZE|FB LÍNEAS AÉREAS - FLYBONDI,118
TUC,EZE,JETSMART AIRLINES S.A.,TUC|EZE|JETSMART AIRLINES S.A.,244
TUC,JUJ,AEROLINEAS ARGENTINAS SA,TUC|JUJ|AEROLINEAS ARGENTINAS SA,1
TUC,MDP,AEROLINEAS ARGENTINAS SA,TUC|MDP|AEROLINEAS ARGENTINAS SA,145
TUC,SAL,AEROLINEAS ARGENTINAS SA,TUC|SAL|AEROLINEAS ARGENTINAS SA,35
TUC,SAL,JETSMART AIRLINES S.A.,TUC|SAL|JETSMART AIRLINES S.A.,1
TUC,SIS,AEROLINEAS ARGENTINAS SA,TUC|SIS|AEROLINEAS ARGENTINAS SA,1
UIS,AER,AEROLINEAS ARGENTINAS SA,UIS|AER|AEROLINEAS ARGENTINAS SA,976
USU,AER,FB LÍNEAS AÉREAS - FLYBONDI,USU|AER|FB LÍNEAS AÉREAS - FLYBONDI,472
USU,AER,JETSMART AIRLINES S.A.,USU|AER|JETSMART AIRLINES S.A.,544
USU,BAR,JETSMART AIRLINES S.A.,USU|BAR|JETSMART AIRLINES S.A.,1
USU,CBA,AEROLINEAS ARGENTINAS SA,USU|CBA|AEROLINEAS ARGENTINAS SA,368
USU,ECA,AEROLINEAS ARGENTINAS SA,USU|ECA|AEROLINEAS ARGENTINAS SA,557
USU,ECA,FB LÍNEAS AÉREAS - FLYBONDI,USU|ECA|FB LÍNEAS AÉREAS - FLYBONDI,131
USU,ECA,JETSMART AIRLINES S.A.,USU|ECA|JETSMART AIRLINES S.A.,4
USU,EZE,FB LÍNEAS AÉREAS - FLYBONDI,USU|EZE|FB LÍNEAS AÉREAS - FLYBONDI,301
USU,TRE,AEROLINEAS ARGENTINAS SA,USU|TRE|AEROLINEAS ARGENTINAS SA,11
VIE,AER,AEROLINEAS ARGENTINAS SA,VIE|AER|AEROLINEAS ARGENTINAS SA,339
VIE,BAR,AEROLINEAS ARGENTINAS SA,VIE|BAR|AEROLINEAS ARGENTINAS SA,4
VIE,BCA,AEROLINEAS ARGENTINAS SA,VIE|BCA|AEROLINEAS ARGENTINAS SA,1
VIE,EZE,AEROLINEAS ARGENTINAS SA,VIE|EZE|AEROLINEAS ARGENTINAS SA,11
VIE,OSA,AEROLINEAS ARGENTINAS SA,VIE|OSA|AEROLINEAS ARGENTINAS SA,2
